Latitude,Longitude,Date,MODIS_Tile,MCD12Q2_061_Line_Y_500m,MCD12Q2_061_Sample_X_500m,MCD12Q2_061_Dormancy_0,MCD12Q2_061_Dormancy_1,MCD12Q2_061_Greenup_0,MCD12Q2_061_Greenup_1,MCD12Q2_061_Maturity_0,MCD12Q2_061_Maturity_1,MCD12Q2_061_Peak_0,MCD12Q2_061_Peak_1,MCD12Q2_061_Senescence_0,MCD12Q2_061_Senescence_1,MCD12Q2_061_QA_Detailed_0,MCD12Q2_061_QA_Detailed_1,MCD12Q2_061_QA_Overall_0,MCD12Q2_061_QA_Overall_1,MCD12Q2_061_QA_Detailed_0_bitmask,MCD12Q2_061_QA_Detailed_0_Greenup,MCD12Q2_061_QA_Detailed_0_Greenup_Description,MCD12Q2_061_QA_Detailed_0_MidGreenup,MCD12Q2_061_QA_Detailed_0_MidGreenup_Description,MCD12Q2_061_QA_Detailed_0_Maturity,MCD12Q2_061_QA_Detailed_0_Maturity_Description,MCD12Q2_061_QA_Detailed_0_Peak,MCD12Q2_061_QA_Detailed_0_Peak_Description,MCD12Q2_061_QA_Detailed_0_Senescence,MCD12Q2_061_QA_Detailed_0_Senescence_Description,MCD12Q2_061_QA_Detailed_0_MidGreendown,MCD12Q2_061_QA_Detailed_0_MidGreendown_Description,MCD12Q2_061_QA_Detailed_0_Dormancy,MCD12Q2_061_QA_Detailed_0_Dormancy_Description,MCD12Q2_061_QA_Detailed_0_Unused,MCD12Q2_061_QA_Detailed_0_Unused_Description,MCD12Q2_061_QA_Detailed_1_bitmask,MCD12Q2_061_QA_Detailed_1_Greenup,MCD12Q2_061_QA_Detailed_1_Greenup_Description,MCD12Q2_061_QA_Detailed_1_MidGreenup,MCD12Q2_061_QA_Detailed_1_MidGreenup_Description,MCD12Q2_061_QA_Detailed_1_Maturity,MCD12Q2_061_QA_Detailed_1_Maturity_Description,MCD12Q2_061_QA_Detailed_1_Peak,MCD12Q2_061_QA_Detailed_1_Peak_Description,MCD12Q2_061_QA_Detailed_1_Senescence,MCD12Q2_061_QA_Detailed_1_Senescence_Description,MCD12Q2_061_QA_Detailed_1_MidGreendown,MCD12Q2_061_QA_Detailed_1_MidGreendown_Description,MCD12Q2_061_QA_Detailed_1_Dormancy,MCD12Q2_061_QA_Detailed_1_Dormancy_Description,MCD12Q2_061_QA_Detailed_1_Unused,MCD12Q2_061_QA_Detailed_1_Unused_Description,MCD12Q2_061_QA_Overall_0_bitmask,MCD12Q2_061_QA_Overall_0_Name,MCD12Q2_061_QA_Overall_0_Name_Description,MCD12Q2_061_QA_Overall_1_bitmask,MCD12Q2_061_QA_Overall_1_Name,MCD12Q2_061_QA_Overall_1_Name_Description
25.6,-100.2,2005-01-01,h08v06,1055.0,2312.0,13179.0,32767.0,12858.0,32767.0,13000.0,32767.0,13033.0,32767.0,13066.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2006-01-01,h08v06,1055.0,2312.0,13539.0,32767.0,13327.0,32767.0,13428.0,32767.0,13452.0,32767.0,13476.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2007-01-01,h08v06,1055.0,2312.0,13867.0,32767.0,13600.0,32767.0,13668.0,32767.0,13705.0,32767.0,13768.0,32767.0,768.0,32767.0,0.0,32767.0,0b0000001100000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b11,Poor,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2008-01-01,h08v06,1055.0,2312.0,14236.0,32767.0,13982.0,32767.0,14110.0,32767.0,14148.0,32767.0,14173.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2009-01-01,h08v06,1055.0,2312.0,14652.0,32767.0,14483.0,32767.0,14534.0,32767.0,14553.0,32767.0,14573.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2010-01-01,h08v06,1055.0,2312.0,14968.0,32767.0,14713.0,32767.0,14771.0,32767.0,14802.0,32767.0,14836.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2011-01-01,h08v06,1055.0,2312.0,15354.0,32767.0,15129.0,32767.0,15178.0,32767.0,15193.0,32767.0,15212.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2012-01-01,h08v06,1055.0,2312.0,15747.0,32767.0,15444.0,32767.0,15599.0,32767.0,15616.0,32767.0,15644.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2013-01-01,h08v06,1055.0,2312.0,16047.0,32767.0,15794.0,32767.0,15851.0,32767.0,15876.0,32767.0,15900.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2014-01-01,h08v06,1055.0,2312.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,32767.0,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0111111111111111,0b0111111111111111,,0b0111111111111111,0b0111111111111111,
